ProductReference,SupplierName,ProposedLayout,ProposedFoldingMethod,ProposedUnitsPerCarton,ProductName,GarmentType,Material,Size,Collection,Weight
PRD05560,SupplierA,LayoutC,Method3,18.0,Suit Silk L,Suit,Silk,L,Summer,0.5
PRD05559,SupplierC,LayoutB,Method3,31.0,Pants Silk L,Pants,Silk,L,Autumn,0.27
PRD05558,SupplierB,LayoutB,Method3,12.0,Sweater Silk M,Sweater,Silk,M,Winter,0.52
PRD05557,SupplierA,LayoutA,Method3,43.0,Shirt Silk M,Shirt,Silk,M,Summer,0.16
PRD05556,SupplierD,LayoutD,Method3,5.0,Coat Linen L,Coat,Linen,L,Winter,1.23
PRD05555,SupplierB,LayoutA,Method2,44.0,T-Shirt Cotton S,T-Shirt,Cotton,S,Autumn,0.13
PRD05575,SupplierH,LayoutC,Method2,18.0,Suit Cotton XS,Suit,Cotton,XS,Spring,0.86
PRD05574,SupplierA,LayoutC,Method1,19.0,Suit Cotton M,Suit,Cotton,M,Autumn,0.96
PRD05573,SupplierB,LayoutA,Method3,37.0,T-Shirt Silk S,T-Shirt,Silk,S,Winter,0.12
PRD05572,SupplierB,LayoutB,Method2,37.0,Shirt Polyester L,Shirt,Polyester,L,Autumn,0.16
PRD05571,SupplierB,LayoutC,Method3,13.0,Hoodie Silk L,Hoodie,Silk,L,Winter,0.65
PRD05570,SupplierC,LayoutD,Method2,17.0,Hoodie Polyester L,Hoodie,Polyester,L,Summer,0.8
PRD05569,SupplierA,LayoutB,Method2,45.0,T-Shirt Cotton M,T-Shirt,Cotton,M,Summer,0.14
PRD05568,SupplierA,LayoutD,Method1,15.0,Sweater Cotton M,Sweater,Cotton,M,Autumn,0.7
PRD05567,SupplierB,LayoutE,Method1,5.0,Coat Polyester M,Coat,Polyester,M,Summer,1.08
PRD05566,SupplierE,LayoutB,Method1,26.0,Shirt Cotton M,Shirt,Cotton,M,Winter,0.2
PRD05565,SupplierA,LayoutC,Method2,32.0,Shorts Cotton M,Shorts,Cotton,M,Winter,0.26
PRD05587,SupplierB,LayoutA,Method1,19.0,Jacket Cotton S,Jacket,Cotton,S,Winter,0.76
PRD05586,SupplierA,LayoutB,Method2,32.0,Shirt Cotton XL,Shirt,Cotton,XL,Summer,0.2
PRD05585,SupplierA,LayoutB,Method2,34.0,Dress Cotton L,Dress,Cotton,L,Summer,0.46
PRD05584,SupplierC,LayoutE,Method2,9.0,Coat Polyester L,Coat,Polyester,L,Spring,1.23
PRD05583,SupplierH,LayoutA,Method2,45.0,T-Shirt Cotton S,T-Shirt,Cotton,S,Summer,0.16
PRD05582,SupplierE,LayoutD,Method1,18.0,Jacket Cotton L,Jacket,Cotton,L,Autumn,0.74
PRD05581,SupplierA,LayoutC,Method2,30.0,Shirt Denim S,Shirt,Denim,S,Autumn,0.28
PRD05580,SupplierD,LayoutC,Method3,12.0,Jacket Linen XL,Jacket,Linen,XL,Spring,0.76
PRD05579,SupplierB,LayoutA,Method2,0.0,Blouse Linen L,Blouse,Linen,L,Summer,0.21
PRD05578,SupplierB,LayoutD,Method3,5.0,Hoodie Wool S,Hoodie,Wool,S,Spring,1.05
PRD05577,SupplierD,LayoutD,Method1,12.0,Suit Polyester M,Suit,Polyester,M,Winter,0.82
PRD05576,SupplierB,LayoutB,Method2,37.0,Shirt Polyester S,Shirt,Polyester,S,Spring,0.18
PRD05598,SupplierD,LayoutE,Method3,9.0,Coat Linen L,Coat,Linen,L,Autumn,1.25
PRD05597,SupplierC,LayoutD,Method1,19.0,Jacket Cotton S,Jacket,Cotton,S,Summer,0.81
PRD05596,SupplierA,LayoutB,Method1,11.0,Dress Cotton M,Dress,Cotton,M,Autumn,0.56
PRD05595,SupplierE,LayoutC,Method2,12.0,Jacket Cotton L,Jacket,Cotton,L,Spring,0.91
PRD05594,SupplierA,LayoutE,Method3,9.0,Hoodie Wool M,Hoodie,Wool,M,Spring,1.06
PRD05593,SupplierB,LayoutB,Method3,38.0,Shirt Wool L,Shirt,Wool,L,Spring,0.19
PRD05592,SupplierG,LayoutC,Method1,20.0,Dress Polyester L,Dress,Polyester,L,Winter,0.33
PRD05591,SupplierA,LayoutC,Method3,30.0,Pants Wool XL,Pants,Wool,XL,Summer,0.49
PRD05590,SupplierB,LayoutE,Method2,8.0,Suit Cotton M,Suit,Cotton,M,Autumn,1.15
PRD05589,SupplierF,LayoutC,Method1,32.0,Shorts Cotton S,Shorts,Cotton,S,Summer,0.28
PRD05588,SupplierA,LayoutC,Method1,14.0,Dress Cotton M,Dress,Cotton,M,Spring,0.56
PRD05608,SupplierD,LayoutB,Method3,27.0,Blouse Wool M,Blouse,Wool,M,Autumn,0.27
PRD05607,SupplierB,LayoutA,Method3,30.0,T-Shirt Linen XL,T-Shirt,Linen,XL,Autumn,0.12
PRD05606,SupplierD,LayoutA,Method2,20.0,Skirt Cotton L,Skirt,Cotton,L,Autumn,0.23
PRD05605,SupplierB,LayoutA,Method2,29.0,Shirt Cotton L,Shirt,Cotton,L,Summer,0.22
PRD05604,SupplierA,LayoutD,Method3,12.0,Suit Linen M,Suit,Linen,M,Autumn,0.96
PRD05603,SupplierE,LayoutA,Method1,43.0,Shirt Polyester L,Shirt,Polyester,L,Summer,0.18
PRD05602,SupplierE,LayoutB,Method2,13.0,Pants Denim L,Pants,Denim,L,Autumn,0.55
PRD05601,SupplierD,LayoutC,Method2,22.0,Pants Cotton S,Pants,Cotton,S,Spring,0.44
PRD05600,SupplierD,LayoutD,Method2,6.0,Coat Cotton S,Coat,Cotton,S,Summer,1.53
PRD05599,SupplierC,LayoutD,Method3,6.0,Suit Wool M,Suit,Wool,M,Winter,1.15
PRD05618,SupplierA,LayoutC,Method1,16.0,Pants Wool S,Pants,Wool,S,Winter,0.52
PRD05617,SupplierH,LayoutA,Method1,39.0,Blouse Polyester S,Blouse,Polyester,S,Spring,0.18
PRD05616,SupplierD,LayoutB,Method2,31.0,T-Shirt Cotton M,T-Shirt,Cotton,M,Winter,0.16
PRD05615,SupplierD,LayoutB,Method3,12.0,Jacket Silk M,Jacket,Silk,M,Spring,0.53
PRD05614,SupplierC,LayoutB,Method2,26.0,Pants Cotton XS,Pants,Cotton,XS,Summer,0.34
PRD05613,SupplierG,LayoutA,Method2,47.0,T-Shirt Cotton M,T-Shirt,Cotton,M,Summer,0.15
PRD05612,SupplierA,LayoutE,Method3,9.0,Coat Wool M,Coat,Wool,M,Summer,1.63
PRD05611,SupplierB,LayoutA,Method2,47.0,Shirt Polyester M,Shirt,Polyester,M,Winter,0.14
PRD05610,SupplierB,LayoutC,Method1,34.0,Dress Polyester L,Dress,Polyester,L,Summer,0.4
PRD05609,SupplierB,LayoutC,Method3,14.0,Jacket Wool L,Jacket,Wool,L,Winter,0.84
PRD05628,SupplierA,LayoutB,Method3,33.0,Pants Silk M,Pants,Silk,M,Winter,0.28
PRD05627,SupplierE,LayoutD,Method1,15.0,Jacket Polyester L,Jacket,Polyester,L,Spring,0.69
PRD05626,SupplierB,LayoutA,Method1,36.0,T-Shirt Cotton S,T-Shirt,Cotton,S,Spring,0.16
PRD05625,SupplierB,LayoutB,Method1,49.0,Shirt Polyester S,Shirt,Polyester,S,Summer,0.15
PRD05624,SupplierB,LayoutD,Method3,15.0,Sweater Wool M,Sweater,Wool,M,Summer,0.88
PRD05623,SupplierC,LayoutB,Method3,39.0,T-Shirt Linen M,T-Shirt,Linen,M,Autumn,0.13
PRD05622,SupplierF,LayoutB,Method3,21.0,Blouse Linen M,Blouse,Linen,M,Spring,0.24
PRD05621,SupplierA,LayoutB,Method2,46.0,Shirt Polyester L,Shirt,Polyester,L,Autumn,0.14
PRD05620,SupplierB,LayoutB,Method2,30.0,Shirt Polyester L,Shirt,Polyester,L,Winter,0.16
PRD05619,SupplierC,LayoutC,Method2,21.0,Skirt Denim M,Skirt,Denim,M,Winter,0.36
PRD05639,SupplierD,LayoutB,Method2,32.0,Shirt Linen XS,Shirt,Linen,XS,Winter,0.2
PRD05638,SupplierB,LayoutB,Method2,39.0,T-Shirt Cotton XL,T-Shirt,Cotton,XL,Winter,0.15
PRD05637,SupplierH,LayoutB,Method1,12.5,Skirt Polyester L,Skirt,Polyester,L,Spring,0.25
PRD05636,SupplierD,LayoutB,Method1,30.0,Shirt Cotton XL,Shirt,Cotton,XL,Spring,0.18
PRD05635,SupplierA,LayoutB,Method2,32.0,Shirt Polyester M,Shirt,Polyester,M,Spring,0.18
PRD05634,SupplierD,LayoutB,Method3,22.0,Shirt Wool M,Shirt,Wool,M,Winter,0.28
PRD05633,SupplierE,LayoutC,Method2,32.0,Shirt Denim M,Shirt,Denim,M,Summer,0.28
PRD05632,SupplierD,LayoutB,Method1,22.0,Skirt Polyester M,Skirt,Polyester,M,Spring,0.24
PRD05631,SupplierA,LayoutC,Method1,22.0,Sweater Polyester S,Sweater,Polyester,S,Autumn,0.49
PRD05630,SupplierG,LayoutA,Method1,21.0,Shirt Cotton L,Shirt,Cotton,L,Autumn,0.2
PRD05629,SupplierA,LayoutB,Method3,28.0,Skirt Silk L,Skirt,Silk,L,Winter,0.2
PRD05649,SupplierA,LayoutC,Method2,13.0,Suit Cotton L,Suit,Cotton,L,Spring,0.89
PRD05648,SupplierD,LayoutD,Method3,18.0,Sweater Linen S,Sweater,Linen,S,Summer,0.72
PRD05647,SupplierA,LayoutA,Method2,30.0,Shirt Linen XL,Shirt,Linen,XL,Winter,0.18
PRD05646,SupplierB,LayoutB,Method2,31.0,Pants Denim XL,Pants,Denim,XL,Winter,0.47
PRD05645,SupplierB,LayoutA,Method1,31.0,Skirt Cotton M,Skirt,Cotton,M,Winter,0.24
PRD05644,SupplierB,LayoutB,Method2,21.0,Pants Cotton L,Pants,Cotton,L,Summer,0.36
PRD05643,SupplierB,LayoutB,Method3,31.0,Pants Silk M,Pants,Silk,M,Summer,0.28
PRD05642,SupplierA,LayoutA,Method1,47.0,T-Shirt Polyester M,T-Shirt,Polyester,M,Summer,0.11
PRD05641,SupplierB,LayoutC,Method1,21.0,Skirt Polyester S,Skirt,Polyester,S,Summer,0.26
PRD05640,SupplierC,LayoutB,Method3,32.0,Shirt Linen S,Shirt,Linen,S,Spring,0.17
PRD05658,SupplierA,LayoutA,Method2,30.0,T-Shirt Denim M,T-Shirt,Denim,M,Spring,0.18
PRD05657,SupplierC,LayoutE,Method1,4.0,Coat Cotton XL,Coat,Cotton,XL,Spring,1.28
PRD05656,SupplierD,LayoutA,Method2,31.0,Shirt Cotton L,Shirt,Cotton,L,Summer,0.16
PRD05655,SupplierC,LayoutB,Method3,23.0,Shirt Wool L,Shirt,Wool,L,Spring,0.23
PRD05654,SupplierA,LayoutD,Method2,19.0,Jacket Cotton L,Jacket,Cotton,L,Autumn,0.77
PRD05653,SupplierD,LayoutB,Method3,30.0,Pants Linen S,Pants,Linen,S,Winter,0.34
PRD05652,SupplierA,LayoutD,Method2,4.0,Coat Cotton L,Coat,Cotton,L,Winter,1.67
PRD05651,SupplierA,LayoutD,Method1,10.0,Sweater Cotton M,Sweater,Cotton,M,Spring,0.6
PRD05650,SupplierF,LayoutC,Method1,20.0,Skirt Cotton M,Skirt,Cotton,M,Winter,0.28
PRD05669,SupplierH,LayoutB,Method2,31.0,Shirt Polyester M,Shirt,Polyester,M,Spring,0.17
PRD05668,SupplierA,LayoutB,Method1,47.0,T-Shirt Cotton M,T-Shirt,Cotton,M,Spring,0.19
PRD05667,SupplierB,LayoutD,Method1,8.0,Coat Polyester S,Coat,Polyester,S,Spring,1.13
PRD05666,SupplierA,LayoutA,Method2,31.0,T-Shirt Linen L,T-Shirt,Linen,L,Winter,0.12
PRD05665,SupplierB,LayoutE,Method3,8.0,Suit Wool XL,Suit,Wool,XL,Summer,1.34
PRD05664,SupplierC,LayoutB,Method1,30.0,Skirt Cotton M,Skirt,Cotton,M,Winter,0.29
PRD05663,SupplierE,LayoutB,Method2,44.0,T-Shirt Polyester L,T-Shirt,Polyester,L,Summer,0.1
PRD05662,SupplierB,LayoutA,Method1,33.0,Shirt Cotton S,Shirt,Cotton,S,Winter,0.21
PRD05661,SupplierA,LayoutA,Method2,24.0,Shirt Cotton M,Shirt,Cotton,M,Summer,0.21
PRD05660,SupplierA,LayoutC,Method2,17.0,Suit Cotton S,Suit,Cotton,S,Summer,0.75
PRD05659,SupplierC,LayoutC,Method2,25.0,Shorts Cotton S,Shorts,Cotton,S,Autumn,0.32
PRD05680,SupplierA,LayoutA,Method1,33.0,Shirt Cotton XL,Shirt,Cotton,XL,Summer,0.2
PRD05679,SupplierA,LayoutC,Method3,13.0,Coat Silk L,Coat,Silk,L,Winter,0.87
PRD05678,SupplierC,LayoutA,Method1,46.0,Shirt Polyester XS,Shirt,Polyester,XS,Summer,0.16
PRD05677,SupplierB,LayoutB,Method1,25.0,Skirt Cotton S,Skirt,Cotton,S,Autumn,0.3
PRD05676,SupplierC,LayoutB,Method3,36.0,Shirt Linen L,Shirt,Linen,L,Spring,0.16
PRD05675,SupplierC,LayoutA,Method3,42.0,Shorts Silk L,Shorts,Silk,L,Winter,0.16
PRD05674,SupplierB,LayoutC,Method2,30.0,Pants Linen M,Pants,Linen,M,Winter,0.28
PRD05673,SupplierD,LayoutD,Method2,5.0,Suit Cotton L,Suit,Cotton,L,Winter,1.07
PRD05672,SupplierA,LayoutC,Method3,9999.0,Pants Wool XS,Pants,Wool,XS,Autumn,0.5
PRD05671,SupplierA,LayoutB,Method1,46.0,T-Shirt Polyester M,T-Shirt,Polyester,M,Summer,0.11
PRD05670,SupplierF,LayoutC,Method1,11.0,Sweater Cotton M,Sweater,Cotton,M,Autumn,0.68
PRD05691,SupplierB,LayoutB,Method2,23.0,Pants Cotton L,Pants,Cotton,L,Summer,0.39
PRD05690,SupplierB,LayoutB,Method3,18.0,Suit Silk M,Suit,Silk,M,Winter,0.58
PRD05689,SupplierC,LayoutB,Method2,32.0,Shirt Cotton S,Shirt,Cotton,S,Summer,0.17
PRD05688,SupplierC,LayoutB,Method2,28.0,Blouse Cotton M,Blouse,Cotton,M,Spring,0.27
PRD05687,SupplierF,LayoutB,Method2,19.0,Dress Denim L,Dress,Denim,L,Autumn,0.58
PRD05686,SupplierA,LayoutD,Method3,11.0,Sweater Linen M,Sweater,Linen,M,Winter,0.63
PRD05685,SupplierD,LayoutB,Method3,38.0,Shirt Linen M,Shirt,Linen,M,Spring,0.19
PRD05684,SupplierD,LayoutC,Method2,32.0,Pants Linen M,Pants,Linen,M,Spring,0.33
PRD05683,SupplierB,LayoutB,Method2,21.0,Blouse Cotton S,Blouse,Cotton,S,Winter,0.24
PRD05682,SupplierA,LayoutC,Method2,3.0,Dress Cotton M,Dress,Cotton,M,Autumn,0.46
PRD05681,SupplierB,LayoutC,Method3,24.0,Pants Linen M,Pants,Linen,M,Summer,0.36
PRD05700,SupplierA,LayoutB,Method1,28.0,Pants Polyester L,Pants,Polyester,L,Summer,0.31
PRD05699,SupplierG,LayoutB,Method2,19.0,Hoodie Polyester L,Hoodie,Polyester,L,Summer,0.57
PRD05698,SupplierE,LayoutC,Method3,12.0,Jacket Wool M,Jacket,Wool,M,Summer,0.99
PRD05697,SupplierC,LayoutC,Method3,11.0,Jacket Silk L,Jacket,Silk,L,Spring,0.56
PRD05696,SupplierD,LayoutC,Method2,29.0,Pants Polyester S,Pants,Polyester,S,Summer,0.37
PRD05695,SupplierH,LayoutC,Method1,10.0,Sweater Cotton M,Sweater,Cotton,M,Spring,0.76
PRD05694,SupplierE,LayoutB,Method2,33.0,Skirt Cotton M,Skirt,Cotton,M,Summer,0.26
PRD05693,SupplierA,LayoutD,Method1,9.0,Coat Polyester XL,Coat,Polyester,XL,Winter,1.21
PRD05692,SupplierD,LayoutA,Method3,22.0,Shirt Wool M,Shirt,Wool,M,Winter,0.23
PRD05713,SupplierA,LayoutB,Method1,13.0,Dress Cotton S,Dress,Cotton,S,Autumn,0.51
PRD05712,SupplierB,LayoutC,Method2,23.0,Shorts Denim S,Shorts,Denim,S,Summer,0.36
PRD05711,SupplierD,LayoutB,Method1,23.0,Shirt Cotton M,Shirt,Cotton,M,Summer,0.22
PRD05710,SupplierE,LayoutB,Method2,20.0,Blouse Polyester M,Blouse,Polyester,M,Spring,0.21
PRD05709,SupplierA,LayoutD,Method2,15.0,Suit Polyester M,Suit,Polyester,M,Summer,0.83
PRD05708,SupplierA,LayoutB,Method2,31.0,Shirt Cotton S,Shirt,Cotton,S,Summer,0.22
PRD05707,SupplierG,LayoutA,Method1,44.0,Blouse Polyester L,Blouse,Polyester,L,Winter,0.18
PRD05706,SupplierC,LayoutC,Method1,34.0,Pants Polyester M,Pants,Polyester,M,Summer,0.3
PRD05705,SupplierC,LayoutA,Method1,34.0,Blouse Cotton M,Blouse,Cotton,M,Spring,0.21
PRD05704,SupplierA,LayoutC,Method1,23.0,Pants Cotton M,Pants,Cotton,M,Summer,0.38
PRD05703,SupplierG,LayoutB,Method1,33.0,Skirt Polyester L,Skirt,Polyester,L,Summer,0.22
PRD05702,SupplierB,LayoutD,Method2,13.0,Jacket Cotton XS,Jacket,Cotton,XS,Autumn,0.73
PRD05701,SupplierA,LayoutB,Method2,34.0,Pants Cotton L,Pants,Cotton,L,Autumn,0.37
PRD05723,SupplierA,LayoutB,Method2,47.0,T-Shirt Linen S,T-Shirt,Linen,S,Autumn,0.12
PRD05722,SupplierA,LayoutD,Method1,18.0,Jacket Cotton S,Jacket,Cotton,S,Autumn,0.78
PRD05721,SupplierF,LayoutB,Method2,42.0,Shirt Polyester S,Shirt,Polyester,S,Winter,0.15
PRD05720,SupplierE,LayoutB,Method3,24.0,Shirt Wool L,Shirt,Wool,L,Winter,0.23
PRD05719,SupplierA,LayoutB,Method1,40.0,Shirt Cotton M,Shirt,Cotton,M,Spring,0.18
PRD05718,SupplierA,LayoutB,Method3,23.0,Pants Linen M,Pants,Linen,M,Summer,0.39
PRD05717,SupplierG,LayoutA,Method2,35.0,Shirt Cotton S,Shirt,Cotton,S,Autumn,0.19
PRD05716,SupplierB,LayoutB,Method3,22.0,Pants Silk L,Pants,Silk,L,Spring,0.22
PRD05715,SupplierC,LayoutD,Method1,5.0,Coat Cotton M,Coat,Cotton,M,Spring,1.37
PRD05714,SupplierC,LayoutB,Method3,33.0,Shorts Silk S,Shorts,Silk,S,Winter,0.23
PRD05736,SupplierG,LayoutE,Method2,6.0,Coat Cotton M,Coat,Cotton,M,Winter,1.57
PRD05735,SupplierA,LayoutD,Method2,9.0,Coat Polyester M,Coat,Polyester,M,Autumn,1.11
PRD05734,SupplierB,LayoutC,Method1,27.0,Skirt Cotton M,Skirt,Cotton,M,Spring,0.3
PRD05733,SupplierB,LayoutD,Method3,12.0,Suit Silk M,Suit,Silk,M,Winter,0.62
PRD05732,SupplierA,LayoutD,Method3,17.0,Jacket Linen L,Jacket,Linen,L,Winter,0.69
PRD05731,SupplierA,LayoutB,Method2,41.0,T-Shirt Linen M,T-Shirt,Linen,M,Winter,0.14
PRD05730,SupplierC,LayoutB,Method2,25.0,Shorts Cotton L,Shorts,Cotton,L,Spring,0.28
PRD05729,SupplierB,LayoutB,Method1,34.0,Shirt Cotton S,Shirt,Cotton,S,Spring,0.18
PRD05728,SupplierB,LayoutB,Method3,26.0,Shirt Wool S,Shirt,Wool,S,Winter,0.24
PRD05727,SupplierB,LayoutB,Method2,40.0,Shirt Polyester M,Shirt,Polyester,M,Winter,0.18
PRD05726,SupplierA,LayoutC,Method1,11.0,Suit Cotton S,Suit,Cotton,S,Summer,0.97
PRD05725,SupplierB,LayoutA,Method3,34.0,Shirt Silk M,Shirt,Silk,M,Spring,0.13
PRD05724,SupplierG,LayoutB,Method2,43.0,Shirt Cotton XL,Shirt,Cotton,XL,Spring,0.17
PRD05745,SupplierD,LayoutB,Method2,44.0,Shirt Polyester L,Shirt,Polyester,L,Summer,0.16
PRD05744,SupplierA,LayoutD,Method3,9.0,Hoodie Wool M,Hoodie,Wool,M,Summer,1.19
PRD05743,SupplierE,LayoutB,Method3,48.0,T-Shirt Silk S,T-Shirt,Silk,S,Winter,0.08
PRD05742,SupplierF,LayoutB,Method3,32.0,Skirt Wool L,Skirt,Wool,L,Summer,0.37
PRD05741,SupplierG,LayoutB,Method2,42.0,Blouse Polyester S,Blouse,Polyester,S,Winter,0.15
PRD05740,SupplierC,LayoutC,Method2,32.0,Dress Polyester L,Dress,Polyester,L,Summer,0.4
PRD05739,SupplierD,LayoutA,Method1,22.0,Shirt Cotton L,Shirt,Cotton,L,Spring,0.24
PRD05738,SupplierA,LayoutC,Method3,28.0,Pants Linen S,Pants,Linen,S,Summer,0.32
PRD05737,SupplierF,LayoutD,Method2,4.0,Suit Cotton L,Suit,Cotton,L,Summer,1.04
PRD05755,SupplierB,LayoutB,Method1,49.0,Blouse Silk L,Blouse,Silk,L,Spring,0.18
PRD05754,SupplierF,LayoutB,Method2,30.0,T-Shirt Cotton S,T-Shirt,Cotton,S,Summer,0.16
PRD05753,SupplierC,LayoutB,Method2,22.0,Shirt Cotton XL,Shirt,Cotton,XL,Winter,0.21
PRD05752,SupplierE,LayoutB,Method2,46.0,T-Shirt Linen M,T-Shirt,Linen,M,Summer,0.09
PRD05751,SupplierB,LayoutB,Method2,34.0,Pants Polyester L,Pants,Polyester,L,Autumn,0.32
PRD05750,SupplierC,LayoutD,Method2,5.0,Coat Cotton S,Coat,Cotton,S,Autumn,1.49
PRD05749,SupplierC,LayoutC,Method2,16.0,Hoodie Cotton XL,Hoodie,Cotton,XL,Summer,0.85
PRD05748,SupplierC,LayoutC,Method2,3.0,Hoodie Cotton L,Hoodie,Cotton,L,Summer,0.95
PRD05747,SupplierD,LayoutE,Method2,4.0,Coat Polyester S,Coat,Polyester,S,Spring,1.19
PRD05746,SupplierB,LayoutD,Method3,5.0,Coat Linen M,Coat,Linen,M,Winter,1.33
PRD05765,SupplierD,LayoutB,Method2,25.0,Blouse Cotton L,Blouse,Cotton,L,Spring,0.25
PRD05764,SupplierB,LayoutA,Method2,36.0,Shirt Cotton M,Shirt,Cotton,M,Summer,0.16
PRD05763,SupplierB,LayoutB,Method2,27.0,Shorts Polyester M,Shorts,Polyester,M,Winter,0.22
PRD05762,SupplierA,LayoutB,Method1,29.0,Shorts Cotton L,Shorts,Cotton,L,Summer,0.31
PRD05761,SupplierD,LayoutC,Method2,14.0,Sweater Cotton L,Sweater,Cotton,L,Summer,0.56
PRD05760,SupplierG,LayoutC,Method1,34.0,Pants Cotton S,Pants,Cotton,S,Winter,0.37
PRD05759,SupplierE,LayoutC,Method2,13.0,Jacket Cotton M,Jacket,Cotton,M,Spring,0.79
PRD05758,SupplierA,LayoutC,Method2,16.0,Jacket Cotton L,Jacket,Cotton,L,Summer,0.79
PRD05757,SupplierA,LayoutD,Method3,9.0,Suit Wool L,Suit,Wool,L,Spring,1.38
PRD05756,SupplierC,LayoutC,Method3,12.0,Jacket Linen S,Jacket,Linen,S,Summer,0.74
PRD05776,SupplierA,LayoutB,Method2,10.0,Jacket Polyester XS,Jacket,Polyester,XS,Summer,0.58
PRD05775,SupplierE,LayoutA,Method2,23.0,Shirt Denim L,Shirt,Denim,L,Summer,0.21
PRD05774,SupplierB,LayoutD,Method3,6.0,Coat Silk L,Coat,Silk,L,Autumn,1.09
PRD05773,SupplierC,LayoutB,Method2,22.0,Pants Cotton S,Pants,Cotton,S,Winter,0.37
PRD05772,SupplierA,LayoutD,Method1,0.0,Sweater Cotton L,Sweater,Cotton,L,Summer,0.78
PRD05771,SupplierH,LayoutD,Method2,8.0,Suit Cotton S,Suit,Cotton,S,Spring,1.03
PRD05770,SupplierB,LayoutC,Method2,32.0,Blouse Cotton M,Blouse,Cotton,M,Spring,0.27
PRD05769,SupplierC,LayoutC,Method2,31.0,Pants Polyester M,Pants,Polyester,M,Summer,0.27
PRD05768,SupplierD,LayoutA,Method1,39.0,Shirt Polyester XL,Shirt,Polyester,XL,Summer,0.16
PRD05767,SupplierB,LayoutB,Method1,34.0,Pants Polyester S,Pants,Polyester,S,Spring,0.31
PRD05766,SupplierA,LayoutC,Method1,19.0,Sweater Cotton M,Sweater,Cotton,M,Autumn,0.69
PRD05786,SupplierB,LayoutB,Method2,30.0,Blouse Polyester L,Blouse,Polyester,L,Summer,0.23
PRD05785,SupplierC,LayoutB,Method2,36.0,Shirt Polyester XS,Shirt,Polyester,XS,Spring,0.16
PRD05784,SupplierH,LayoutA,Method1,29.0,Shirt Cotton XL,Shirt,Cotton,XL,Summer,0.23
PRD05783,SupplierA,LayoutB,Method2,26.0,Skirt Cotton XS,Skirt,Cotton,XS,Summer,0.26
PRD05782,SupplierC,LayoutC,Method3,18.0,Jacket Wool M,Jacket,Wool,M,Summer,0.91
PRD05781,SupplierD,LayoutD,Method1,16.0,Suit Cotton L,Suit,Cotton,L,Autumn,0.99
PRD05780,SupplierF,LayoutB,Method2,23.0,Pants Denim M,Pants,Denim,M,Summer,0.49
PRD05779,SupplierC,LayoutA,Method1,32.0,T-Shirt Cotton L,T-Shirt,Cotton,L,Winter,0.13
PRD05778,SupplierG,LayoutB,Method1,49.0,Shirt Polyester M,Shirt,Polyester,M,Spring,0.16
PRD05777,SupplierA,LayoutD,Method3,11.0,Suit Silk L,Suit,Silk,L,Winter,0.6
PRD05796,SupplierB,LayoutB,Method2,30.0,T-Shirt Cotton M,T-Shirt,Cotton,M,Summer,0.15
PRD05795,SupplierB,LayoutC,Method1,15.0,Dress Cotton M,Dress,Cotton,M,Autumn,0.56
PRD05794,SupplierB,LayoutA,Method3,27.0,Blouse Linen L,Blouse,Linen,L,Summer,0.22
PRD05793,SupplierA,LayoutC,Method1,23.0,Shorts Cotton M,Shorts,Cotton,M,Winter,0.28
PRD05792,SupplierE,LayoutD,Method1,17.0,Suit Polyester M,Suit,Polyester,M,Spring,0.76
PRD05791,SupplierB,LayoutC,Method3,33.0,Pants Linen L,Pants,Linen,L,Spring,0.42
PRD05790,SupplierD,LayoutD,Method2,17.0,Pants Denim S,Pants,Denim,S,Spring,0.6
PRD05789,SupplierA,LayoutC,Method1,17.0,Hoodie Cotton L,Hoodie,Cotton,L,Summer,0.9
PRD05788,SupplierB,LayoutA,Method2,39.0,T-Shirt Cotton M,T-Shirt,Cotton,M,Winter,0.14
PRD05787,SupplierF,LayoutC,Method2,29.0,Pants Cotton S,Pants,Cotton,S,Autumn,0.36
PRD05807,SupplierB,LayoutC,Method2,25.0,Pants Cotton XL,Pants,Cotton,XL,Spring,0.44
PRD05806,SupplierB,LayoutA,Method2,32.0,Shirt Cotton M,Shirt,Cotton,M,Winter,0.2
PRD05805,SupplierD,LayoutD,Method2,17.0,Jacket Polyester M,Jacket,Polyester,M,Winter,0.71
PRD05804,SupplierB,LayoutB,Method2,37.0,T-Shirt Polyester L,T-Shirt,Polyester,L,Winter,0.15
PRD05803,SupplierB,LayoutC,Method1,20.0,Pants Polyester M,Pants,Polyester,M,Spring,0.28
PRD05802,SupplierA,LayoutB,Method1,33.0,Shirt Cotton M,Shirt,Cotton,M,Autumn,0.23
PRD05801,SupplierA,LayoutB,Method1,3.0,Pants Polyester L,Pants,Polyester,L,Winter,0.34
PRD05800,SupplierB,LayoutA,Method2,34.0,Shirt Cotton L,Shirt,Cotton,L,Summer,0.22
PRD05799,SupplierA,LayoutB,Method1,27.0,Shorts Cotton S,Shorts,Cotton,S,Spring,0.33
PRD05798,SupplierB,LayoutC,Method3,11.0,Hoodie Silk M,Hoodie,Silk,M,Autumn,0.7
PRD05797,SupplierB,LayoutB,Method1,24.0,Shirt Cotton L,Shirt,Cotton,L,Summer,0.2
PRD05818,SupplierD,LayoutC,Method2,28.0,Skirt Denim S,Skirt,Denim,S,Winter,0.36
PRD05817,SupplierC,LayoutA,Method3,33.0,Shirt Wool L,Shirt,Wool,L,Spring,0.2
